type,n_reports,pct_total,median_narrative_len,pct_with_harm_G,pct_primary_A,pct_primary_B,pct_primary_C,pct_primary_D,pct_primary_E,pct_primary_F,pct_primary_G,pct_primary_U
AI-specific,5265,24.0,1879,45.0,3.8,91.1,0.1,4.8,0.2,0.0,0.0,0.0
Generic device,16658,76.0,1847,19.1,3.6,25.7,0.8,6.4,7.9,36.8,5.5,13.2
